UFI,TAXON_ID,SCIENTIFIC_DISPLAY_NME,COMMON_NME,TAXON_TYPE,RELIABILITY,RATING_INT,RELIABILITY_TXT,REVIEW_COMMENT_TXT,SAMPLING_METHOD_DESC,SURVEY_START_DATE,LATITUDEDD_NUM,LONGITUDEDD_NUM,LAT_LONG_ACCURACYDD_INT,TOTAL_COUNT_INT,BEHAVIOUR,EXTRA_INFORMATION,RECORD_TYPE,PRIMARY_CDE,SV_RECORD_COUNT,STATE_CDE,LGA_UFI,CMA_NO,PARK_ID,SURVEY_ID,SITE_ORIGIN_STATUS_CDE,CREATION_TSP
3923667,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,Elliott trap,14/NOV/1991,-38.35692,144.97151,100,4,,,Captured and released,FAUNA,100,VIC,352,7,,431834,,16/AUG/11 12:00:00.000000000 AM
3923874,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,Elliott trap,14/NOV/1991,-38.35598,144.96925,100,3,,,Captured and released,FAUNA,99,VIC,352,7,,431836,,16/AUG/11 12:00:00.000000000 AM
3923874,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,Elliott trap,14/NOV/1991,-38.35598,144.96925,100,3,,,Captured and released,FAUNA,99,VIC,352,7,,431836,,16/AUG/11 12:00:00.000000000 AM
3926167,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,General observations,08/JUN/1991,-37.28102,143.07973,100,17,,,Captured and released,FAUNA,24,VIC,301,3,3338,431902,,16/AUG/11 12:00:00.000000000 AM
3929575,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,,,Elliott trap,24/FEB/1992,-37.68834,145.52175,100,1,,,Captured and released,FAUNA,5,VIC,377,7,55,432047,,16/AUG/11 12:00:00.000000000 AM
3929575,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,,,Elliott trap,24/FEB/1992,-37.68834,145.52175,100,1,,,Captured and released,FAUNA,5,VIC,377,7,55,432047,,16/AUG/11 12:00:00.000000000 AM
3929576,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,,,Elliott trap,24/FEB/1992,-37.68834,145.52175,100,1,,,Captured and released,FAUNA,5,VIC,377,7,55,432047,,16/AUG/11 12:00:00.000000000 AM
3929576,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,,,Elliott trap,24/FEB/1992,-37.68834,145.52175,100,1,,,Captured and released,FAUNA,5,VIC,377,7,55,432047,,16/AUG/11 12:00:00.000000000 AM
3929574,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,Elliott trap,24/FEB/1992,-37.68834,145.52175,100,2,,,Captured and released,FAUNA,5,VIC,377,7,55,432047,,16/AUG/11 12:00:00.000000000 AM
3929574,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,Elliott trap,24/FEB/1992,-37.68834,145.52175,100,2,,,Captured and released,FAUNA,5,VIC,377,7,55,432047,,16/AUG/11 12:00:00.000000000 AM
