is_reliable,survey_date,latitude,longitude,lat_lng_accuracy,total_count,vic_x,vic_y,within_built_up_area,within_forest_u2,within_water_area,within_public_land_su3,jan_rainfaull,jan_max_temp,july_rainfall,july_max_temp,LandSat_1,LandSat_2,LandSat_3,LandSat_4,LandSat_5,LandSat_6,LandSat_7,LandSat_8
True,14/NOV/1991,-38.35692,144.97151,100,4,2497509,2349403,False,True,False,False,251.6891,18.444,89.6679,74.7487,2229.564,1057.2456,1.3721517,1.1422553,1.3801377,1.1447989,1.3537209,1.1485894
True,14/NOV/1991,-38.35598,144.96925,100,3,2497311,2349507,False,True,False,False,247.9299,22.081,86.3218,78.0699,2270.5374,1059.9406,1.3819957,1.1448209,1.3840404,1.1463097,1.3517148,1.1504058
True,14/NOV/1991,-38.35598,144.96925,100,3,2497311,2349507,False,True,False,False,247.9299,22.081,86.3218,78.0699,2270.5374,1059.9406,1.3819957,1.1448209,1.3840404,1.1463097,1.3517148,1.1504058
True,08/JUN/1991,-37.28102,143.07973,100,17,2329740,2467099,False,False,False,True,296.5843,0.1706,64.6917,35.5396,1878.3196,2020.4138,1.2282178,1.1960019,1.2319733,1.1917326,1.2385188,1.193142
True,24/FEB/1992,-37.68834,145.52175,100,1,2546015,2423488,False,False,False,False,298.2625,24.934,81.635,51.6045,2262.269,1156.3112,1.3800533,1.1558212,1.3615124,1.1631947,1.3432137,1.1758947
True,24/FEB/1992,-37.68834,145.52175,100,1,2546015,2423488,False,False,False,False,298.2625,24.934,81.635,51.6045,2262.269,1156.3112,1.3800533,1.1558212,1.3615124,1.1631947,1.3432137,1.1758947
True,24/FEB/1992,-37.68834,145.52175,100,1,2546015,2423488,False,False,False,False,298.2625,24.934,81.635,51.6045,2262.269,1156.3112,1.3800533,1.1558212,1.3615124,1.1631947,1.3432137,1.1758947
True,24/FEB/1992,-37.68834,145.52175,100,1,2546015,2423488,False,False,False,False,298.2625,24.934,81.635,51.6045,2262.269,1156.3112,1.3800533,1.1558212,1.3615124,1.1631947,1.3432137,1.1758947
True,24/FEB/1992,-37.68834,145.52175,100,2,2546015,2423488,False,False,False,False,298.2625,24.934,81.635,51.6045,2262.269,1156.3112,1.3800533,1.1558212,1.3615124,1.1631947,1.3432137,1.1758947
True,24/FEB/1992,-37.68834,145.52175,100,2,2546015,2423488,False,False,False,False,298.2625,24.934,81.635,51.6045,2262.269,1156.3112,1.3800533,1.1558212,1.3615124,1.1631947,1.3432137,1.1758947
True,14/MAY/1994,-37.95565,145.49364,100,4,2543382,2393834,False,True,False,False,271.3331,34.7022,72.704,71.5502,2673.4814,1922.8953,1.3717859,1.1961281,1.3644176,1.176782,1.3520738,1.1631616
True,14/MAY/1994,-37.95565,145.49364,100,1,2543382,2393834,False,True,False,False,271.3331,34.7022,72.704,71.5502,2673.4814,1922.8953,1.3717859,1.1961281,1.3644176,1.176782,1.3520738,1.1631616
True,24/MAR/1995,-37.36868,145.27735,100,3,2524564,2459053,False,True,False,False,293.3606,16.186,68.4105,49.0289,1794.355,895.114,1.3055383,1.1224858,1.3234019,1.1492583,1.3217881,1.1670071
True,11/MAY/1995,-37.06096,146.74537,100,4,2655202,2491813,False,True,False,True,267.1352,35.0389,35.2264,142.6916,1957.3395,883.59076,1.3300977,1.1230258,1.3171442,1.1156539,1.3286275,1.1297053
