is_reliable,survey_date,latitude,longitude,lat_lng_accuracy,total_count,vic_x,vic_y,within_built_up_area,within_forest_u2,within_water_area,within_public_land_su3,jan_rainfaull,jan_max_temp,july_rainfall,july_max_temp,LandSat_1,LandSat_2,LandSat_3,LandSat_4,LandSat_5,LandSat_6,LandSat_7,LandSat_8
True,05/NOV/1989,-37.22267,144.04555,100,3,2415304,2474867,False,False,False,False,305.889,-4.1007,62.1953,36.0908,2224.0334,2355.2637,1.2513798,1.2033721,1.2456567,1.1937747,1.234442,1.191727
True,13/OCT/1990,-36.9404,145.1478,100,,2513164,2506603,False,False,False,False,319.9362,3.6997,66.6097,29.6997,2042.2606,2326.2961,1.2209804,1.1957445,1.2282423,1.196608,1.2079748,1.1929646
True,23/JUL/1991,-36.50235,145.77686,100,6,2569588,2554934,False,False,False,False,338.463,-3.4084,69.4084,24.9581,2093.7822,2509.1353,1.203426,1.1923555,1.2026907,1.1936021,1.1983124,1.1936349
True,06/AUG/1991,-37.64424,144.50827,100,1,2456606,2428397,False,False,False,False,285.3318,7.7916,66.2084,7.6472,2123.6746,2354.3499,1.2211318,1.1800865,1.2127116,1.1810372,1.2165211,1.1831801
True,12/JUN/1984,-36.1006,144.84116,100,,2485697,2599782,False,False,False,True,342.5702,-10.5702,64.5702,1.4324,1278.2532,952.0359,1.1223176,1.0365511,1.2068031,1.1188266,1.2216456,1.1525793
True,07/JAN/1994,-36.84391,142.47681,100,,2275008,2514337,False,False,False,False,319.7776,-5.7896,64.7776,26.2303,1821.8085,2446.16,1.1639553,1.1808522,1.165684,1.1809518,1.1707252,1.1805832
True,12/AUG/1985,-34.22946,142.22336,100,,2243952,2803734,False,False,False,True,356.696,-14.696,75.6857,-10.696,2161.0964,2287.3271,1.2016208,1.1420953,1.1531497,1.1041328,1.1462451,1.1054984
True,26/SEP/1982,-36.70677,144.96984,100,,2497305,2532535,False,True,False,True,331.1485,-3.2608,69.1485,14.7111,1788.4119,1943.6927,1.22189,1.2082566,1.2282313,1.2029685,1.2287704,1.2031016
True,09/SEP/1995,-37.88986,144.21007,100,,2430517,2400960,False,True,False,False,281.3138,2.5677,75.2938,9.4831,1791.6573,1803.8859,1.2292037,1.1883557,1.229233,1.1846144,1.2384702,1.1894907
True,02/MAY/1996,-36.41481,145.32319,100,,2528983,2564881,False,False,False,False,340.7399,-10.7399,71.7399,6.5154,2478.5933,3114.4854,1.1998091,1.2048079,1.1978484,1.19681,1.1983479,1.1912478
True,17/AUG/1997,-34.76337,142.67151,100,10,2286719,2745585,False,False,False,True,345.9301,-11.9022,70.9022,-4.9022,1947.2882,2622.926,1.1680737,1.1921351,1.1683211,1.1885065,1.167559,1.1735293
True,07/OCT/1997,-36.08406,146.20432,100,1,2608465,2600943,False,False,False,False,348.4966,-3.5029,65.5079,12.5034,2456.3745,2797.3252,1.2153487,1.1798941,1.2106235,1.1578407,1.2311893,1.1329877
True,26/SEP/1997,-37.00909,142.72727,100,10,2297774,2496577,False,False,False,True,317.8492,-10.8492,73.8492,28.1508,1930.9412,2362.0396,1.209652,1.2115855,1.2134235,1.2099324,1.2151183,1.2057027
True,08/AUG/1998,-36.16503,146.32358,100,30,2619080,2591817,False,False,False,False,349.0305,-3.0305,67.0305,16.9188,2115.6707,2239.0647,1.2347343,1.1846552,1.2256738,1.1838896,1.1998334,1.1929752
True,10/JUN/2000,-36.60171,143.69626,100,5,2383367,2543394,False,True,False,True,316.8484,-1.3797,56.9642,28.1937,1717.7124,1664.318,1.2230214,1.17481,1.2152091,1.1941466,1.2185363,1.2044731
True,28/JUN/2000,-36.51987,145.3589,100,,2532142,2553213,False,False,False,False,337.9362,-9.1089,71.1089,11.8911,2497.307,2992.7437,1.185936,1.1607113,1.1879742,1.165437,1.1869124,1.1750695
True,13/MAY/1999,-36.5085,145.9962,100,,2589229,2554068,False,False,False,False,345.3913,-4.3913,73.3913,24.6087,2352.1682,3215.266,1.178936,1.2013375,1.1777548,1.2035154,1.1791474,1.1932256
True,29/SEP/1994,-36.00308,144.98693,100,,2498821,2610615,False,False,False,False,345.178,-13.178,65.178,-1.178,2418.1191,2900.6392,1.181809,1.1722896,1.1937833,1.1615881,1.1886008,1.1755346
True,18/FEB/2002,-36.77372,144.98488,100,,2498650,2525107,False,True,False,True,323.2799,1.2085,65.0732,22.7667,1935.0667,2013.8971,1.2303252,1.1896937,1.2352749,1.1943781,1.2323567,1.1961187
True,14/FEB/2002,-36.77181,144.97821,100,,2498054,2525319,False,True,False,True,323.7539,-0.7372,65.7372,22.3203,1862.8378,1973.9124,1.2291312,1.2029055,1.2325134,1.1969299,1.2346171,1.1978451
True,15/FEB/2002,-36.75651,144.97973,100,,2498190,2527017,False,True,False,True,321.2252,2.2093,62.7915,24.8711,1869.6553,1969.216,1.233433,1.2049367,1.2381964,1.2032286,1.2346699,1.1996492
True,20/OCT/2002,-36.75651,144.97973,100,,2498190,2527017,False,True,False,True,321.2252,2.2093,62.7915,24.8711,1869.6553,1969.216,1.233433,1.2049367,1.2381964,1.2032286,1.2346699,1.1996492
True,20/OCT/2002,-36.77372,144.98488,100,2,2498650,2525107,False,True,False,True,323.2799,1.2085,65.0732,22.7667,1935.0667,2013.8971,1.2303252,1.1896937,1.2352749,1.1943781,1.2323567,1.1961187
True,20/OCT/2002,-36.77372,144.98488,100,,2498650,2525107,False,True,False,True,323.2799,1.2085,65.0732,22.7667,1935.0667,2013.8971,1.2303252,1.1896937,1.2352749,1.1943781,1.2323567,1.1961187
True,18/OCT/1990,-35.93115,144.99762,100,2,2499785,2618596,False,True,False,True,342.6149,-9.4643,61.4643,1.5357,2039.4391,1494.1517,1.2617002,1.1581037,1.2545823,1.1595931,1.2517583,1.1646914
True,05/JUN/1995,-34.31841,142.06488,100,3,2229647,2793424,False,False,False,True,348.8281,-10.8281,68.8281,-3.8281,2193.3308,3194.0981,1.130594,1.161518,1.135396,1.1662321,1.1410179,1.1645635
True,25/MAY/2002,-36.95444,143.79735,100,4,2392905,2504378,False,False,False,True,332.1796,-13.2712,70.2712,8.0349,1924.2804,2064.1418,1.2246432,1.1953492,1.2187744,1.2013683,1.2187828,1.2004459
True,20/AUG/2002,-36.95444,143.79735,100,1,2392905,2504378,False,False,False,True,332.1796,-13.2712,70.2712,8.0349,1924.2804,2064.1418,1.2246432,1.1953492,1.2187744,1.2013683,1.2187828,1.2004459
True,24/MAY/2004,-36.75093,143.50772,100,3,2366762,2526592,False,False,False,True,328.3457,-10.3457,68.3457,14.6543,2015.3535,2221.6545,1.220625,1.194054,1.2186371,1.1947465,1.2207893,1.1967096
True,04/JUN/2004,-36.779,143.08064,100,2,2328697,2522795,False,False,False,True,331.3137,-18.3137,77.0887,10.6524,2071.2737,2262.0369,1.221745,1.191473,1.2216213,1.1920272,1.2212075,1.1929554
True,27/OCT/1987,-37.66633,144.36356,100,4,2443852,2425869,False,False,False,False,290.0193,4.8208,68.7217,4.6747,1811.9086,1678.1398,1.225075,1.1611762,1.2291012,1.1699641,1.2292699,1.1804028
True,01/FEB/1988,-37.78085,144.57748,100,,2462781,2413265,False,False,False,False,288.3492,-0.3492,78.346,-0.3492,2152.2324,2760.2285,1.1718223,1.1715852,1.1652555,1.1779839,1.1805745,1.1763823
True,12/AUG/1989,-37.61044,144.61701,100,,2466187,2432192,False,False,False,False,287.148,6.5655,68.4427,6.9287,2073.4912,2454.4177,1.2153776,1.1998032,1.209679,1.1985865,1.2011919,1.1962389
True,06/NOV/1998,-37.11379,142.58783,100,2,2285664,2484658,False,True,False,False,308.0209,-0.0209,66.0209,58.0103,1886.9272,2110.1025,1.225734,1.2096593,1.2368506,1.2096592,1.2357597,1.208426
True,27/NOV/1991,-36.52932,145.9585,100,1,2585829,2551793,False,False,False,False,341.2962,-1.2967,70.2967,29.0376,2405.2202,2425.679,1.24337,1.1820614,1.2483022,1.1727087,1.2219745,1.1805385
True,22/MAY/1992,-36.42996,145.66644,100,2,2559754,2563040,False,False,False,False,341.7651,-6.7651,71.5651,16.2349,2471.5383,2354.227,1.2550782,1.1786197,1.2457048,1.1683209,1.209977,1.1681261
True,22/MAY/1992,-36.42996,145.66644,100,1,2559754,2563040,False,False,False,False,341.7651,-6.7651,71.5651,16.2349,2471.5383,2354.227,1.2550782,1.1786197,1.2457048,1.1683209,1.209977,1.1681261
True,22/MAY/1992,-36.42996,145.66644,100,2,2559754,2563040,False,False,False,False,341.7651,-6.7651,71.5651,16.2349,2471.5383,2354.227,1.2550782,1.1786197,1.2457048,1.1683209,1.209977,1.1681261
True,12/AUG/1991,-36.78616,144.33467,140,1,2440621,2523519,False,True,False,True,327.6365,-6.6419,64.1812,24.4818,1979.832,2089.2073,1.2299528,1.1989607,1.2341114,1.1912525,1.2279798,1.1946558
True,26/DEC/1990,-36.09207,147.4739,100,10,2722765,2597846,False,True,False,False,324.9343,11.59,51.514,69.6004,2011.149,1505.212,1.2977825,1.1773189,1.3054054,1.1811846,1.3081205,1.1656189
True,18/DEC/1995,-36.7288,144.47324,100,1,2452953,2529961,False,True,False,True,330.0428,-7.0428,65.2477,15.9479,1879.1202,1907.3444,1.2355314,1.1967663,1.2378199,1.1959502,1.236897,1.1960058
True,08/DEC/1995,-36.70603,143.22755,100,1,2341657,2531144,False,True,False,True,327.717,-12.7469,71.7469,17.7198,1934.397,1991.0525,1.2348781,1.1951278,1.2276832,1.1975998,1.2212727,1.1996194
True,07/NOV/1995,-36.72706,143.0087,100,1,2322157,2528425,False,True,False,True,326.1712,-14.5245,72.1527,16.0399,2036.0801,2462.9531,1.2134856,1.2089905,1.2155637,1.2061399,1.219818,1.2006422
True,13/JUL/1996,-36.15618,146.20359,100,2,2608298,2592943,False,False,False,False,347.0912,-3.8265,65.8265,14.1735,2258.0662,2763.1855,1.2004637,1.1888934,1.183306,1.1912647,1.1763138,1.183065
True,13/JUL/1996,-36.15618,146.20359,100,1,2608298,2592943,False,False,False,False,347.0912,-3.8265,65.8265,14.1735,2258.0662,2763.1855,1.2004637,1.1888934,1.183306,1.1912647,1.1763138,1.183065
True,11/JUL/1996,-36.26526,146.20359,100,1,2608145,2580840,False,True,False,True,335.3946,0.0481,61.7371,25.1883,1907.0654,2173.4636,1.2137388,1.200762,1.2148838,1.207617,1.217173,1.2110045
True,01/JUL/1996,-36.52884,143.69037,100,3,2382729,2551472,False,True,False,False,327.7996,-10.2301,66.2301,17.0465,2258.3862,3072.2476,1.1977859,1.220907,1.205449,1.205247,1.200628,1.2053158
