UFI,TAXON_ID,SCIENTIFIC_DISPLAY_NME,COMMON_NME,TAXON_TYPE,RELIABILITY,RATING_INT,RELIABILITY_TXT,REVIEW_COMMENT_TXT,SAMPLING_METHOD_DESC,SURVEY_START_DATE,LATITUDEDD_NUM,LONGITUDEDD_NUM,LAT_LONG_ACCURACYDD_INT,TOTAL_COUNT_INT,BEHAVIOUR,EXTRA_INFORMATION,RECORD_TYPE,PRIMARY_CDE,SV_RECORD_COUNT,STATE_CDE,LGA_UFI,CMA_NO,PARK_ID,SURVEY_ID,SITE_ORIGIN_STATUS_CDE,CREATION_TSP
2001011,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,Acceptable,0,,,Quadrat,16/FEB/1999,-38.06222,147.55722,15,,,,,FLORA,23,VIC,370,9,,392381,,16/AUG/11 12:00:00.000000000 AM
2001732,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,Acceptable,0,,,Quadrat,12/MAY/1999,-38.05917,147.55528,15,,,,,FLORA,27,VIC,370,9,,392411,,16/AUG/11 12:00:00.000000000 AM
2001967,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,Acceptable,0,,,Quadrat,13/MAY/1999,-38.15,147.4225,15,,,,,FLORA,32,VIC,370,9,3362,392419,,16/AUG/11 12:00:00.000000000 AM
2002392,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,Acceptable,0,,,Quadrat,15/OCT/1999,-38.075,147.53083,15,,,,,FLORA,35,VIC,370,9,3362,392434,,16/AUG/11 12:00:00.000000000 AM
2655033,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,Acceptable,0,,auto review from accepted distrib,Species List for Defined Area,02/NOV/2009,-37.03861,142.37806,5,,,,,FLORA,51,VIC,332,2,,408121,,16/AUG/11 12:00:00.000000000 AM
7080811,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,Acceptable,1,,VBA admin rating added 04/11/2016,Quadrat,30/MAR/2011,-38.2469,147.2089,100,,,,Observation,FLORA,25,VIC,370,,,1138164,,15/APR/16 11:12:40.000000000 AM
7069292,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,Acceptable,1,,VBA admin rating added 04/11/2016,Quadrat,05/MAY/2011,-37.48465,141.93557,100,,,,Observation,FLORA,46,VIC,362,,2526,1138850,,15/APR/16 11:12:40.000000000 AM
7203559,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,Acceptable,1,,VBA admin rating added 04/11/2016,Quadrat,06/JAN/2012,-37.28368,144.64453,100,,,,Observation,FLORA,70,VIC,339,,,1139973,,15/APR/16 11:12:40.000000000 AM
8445498,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,Acceptable,,,,Specimen,10/SEP/2012,-36.530694,141.0125,50,,,,Observation,FLORA,1,VIC,371,2,3298,1339619,,14/FEB/17 09:37:31.000000000 AM
8917573,504391,Leucopogon virgatus var. virgatus,Common Beard-heath,Dicotyledons,,,,,Quadrat,31/OCT/2017,-38.15514,141.2903,5,,,,Seen,FLORA,1,VIC,323,3,3300,1701231,,28/MAR/18 05:51:18.551000000 PM
