is_reliable,survey_date,latitude,longitude,lat_lng_accuracy,total_count,vic_x,vic_y,within_built_up_area,within_forest_u2,within_water_area,within_public_land_su3,jan_rainfaull,jan_max_temp,july_rainfall,july_max_temp,LandSat_1,LandSat_2,LandSat_3,LandSat_4,LandSat_5,LandSat_6,LandSat_7,LandSat_8
True,13/OCT/1988,-37.00972,142.72417,15,,2297500,2496500,False,False,False,True,316.4147,-9.3714,72.3714,29.6284,1933.1198,2334.1685,1.2133806,1.2095734,1.21324,1.210315,1.21145,1.2032934
True,11/OCT/1995,-37.59389,142.32222,15,,2263567,2430771,False,True,False,False,295.8871,-4.8871,75.8871,29.1129,2020.726,1776.3969,1.2740767,1.1897166,1.2585382,1.1962138,1.2442983,1.1949716
True,12/JAN/1987,-37.09214,141.18358,50,,2160846,2482977,False,False,False,False,303.8921,-4.8921,69.8921,51.1079,1981.6974,2191.3774,1.2290378,1.2023995,1.231415,1.2045304,1.2248448,1.2041451
True,26/NOV/1991,-36.84694,142.42583,15,,2270472,2513880,False,False,False,False,324.5951,-10.5951,68.6065,22.5585,2294.9285,2705.6936,1.2168553,1.1892737,1.2072703,1.1888071,1.1723114,1.1883975
True,11/OCT/1995,-37.59333,142.32194,15,,2263540,2430833,False,True,False,False,295.75,-4.75,75.75,29.25,2000.952,1809.8776,1.2691981,1.1906091,1.2584146,1.1967736,1.2444082,1.1948713
True,19/NOV/1993,-36.24806,146.16333,15,,2604551,2582794,False,True,False,False,341.9987,-3.5007,65.132,16.0145,2128.8499,2141.5735,1.2410731,1.1846771,1.2334609,1.1861422,1.2114074,1.1923136
True,04/FEB/2000,-37.49556,142.36639,15,,2267164,2441788,False,True,False,True,296.5002,-2.8646,72.1547,36.2271,1722.0465,1504.2689,1.2527037,1.1826195,1.2552539,1.1813357,1.2545052,1.1839645
True,12/JAN/1987,-37.09048,141.18025,50,,2160543,2483149,False,False,False,False,301.5968,-2.5889,67.5918,53.2862,1987.5942,2301.0654,1.2285022,1.2075846,1.2352188,1.2032135,1.2302611,1.202223
True,01/FEB/2000,-37.08917,142.41361,15,,2270113,2486982,False,True,False,True,289.3549,9.5561,52.7701,76.3198,1723.416,1259.2561,1.2608651,1.1513631,1.267834,1.1532638,1.2728148,1.1521947
True,28/NOV/1991,-36.87389,141.66944,15,,2203157,2508800,False,False,False,False,313.0822,-5.9913,63.9913,35.0087,1784.8281,2291.6511,1.1927608,1.2058382,1.1982782,1.2057189,1.191946,1.201295
True,18/NOV/1993,-36.22639,146.72333,15,,2654918,2584435,False,True,False,True,340.563,-1.8971,64.5082,45.105,2158.3384,2341.325,1.2382975,1.2040148,1.2403897,1.197854,1.2374865,1.1940365
