is_reliable,survey_date,latitude,longitude,lat_lng_accuracy,total_count,vic_x,vic_y,within_built_up_area,within_forest_u2,within_water_area,within_public_land_su3,jan_rainfaull,jan_max_temp,july_rainfall,july_max_temp,LandSat_1,LandSat_2,LandSat_3,LandSat_4,LandSat_5,LandSat_6,LandSat_7,LandSat_8
True,13/SEP/1991,-38.31185,144.14823,100,,2425497,2354073,False,False,False,False,265.1207,2.0402,84.1207,33.6732,1916.665,1821.0173,1.2587285,1.1931722,1.248223,1.1711121,1.2418832,1.1641657
True,14/NOV/1991,-38.35692,144.97151,100,2,2497509,2349403,False,True,False,False,251.6891,18.444,89.6679,74.7487,2229.564,1057.2456,1.3721517,1.1422553,1.3801377,1.1447989,1.3537209,1.1485894
True,14/NOV/1991,-38.35692,144.97151,100,3,2497509,2349403,False,True,False,False,251.6891,18.444,89.6679,74.7487,2229.564,1057.2456,1.3721517,1.1422553,1.3801377,1.1447989,1.3537209,1.1485894
True,14/NOV/1991,-38.35598,144.96925,100,3,2497311,2349507,False,True,False,False,247.9299,22.081,86.3218,78.0699,2270.5374,1059.9406,1.3819957,1.1448209,1.3840404,1.1463097,1.3517148,1.1504058
True,29/OCT/1992,-38.64496,146.57209,100,10,2636891,2316293,False,False,True,True,264.4789,24.2021,85.7979,47.2021,2095.5405,1778.0841,1.3101143,1.2039515,1.3133695,1.1924638,1.3257248,1.1732578
True,01/SEP/1994,-37.78661,145.03149,100,2,2502773,2412708,True,False,False,False,296.7355,13.1562,84.7789,16.4389,2340.746,1926.6036,1.3005716,1.1631643,1.3254473,1.1728455,1.3020759,1.1603199
True,01/SEP/1994,-37.78661,145.03149,100,2,2502773,2412708,True,False,False,False,296.7355,13.1562,84.7789,16.4389,2340.746,1926.6036,1.3005716,1.1631643,1.3254473,1.1728455,1.3020759,1.1603199
True,22/AUG/1994,-37.82882,145.02242,100,1,2501973,2408023,True,False,False,False,293.8068,14.0595,84.2155,19.0595,2549.0144,1933.6368,1.3433295,1.1676376,1.2920132,1.1544527,1.2721604,1.1480618
True,22/AUG/1994,-37.82882,145.02242,100,1,2501973,2408023,True,False,False,False,293.8068,14.0595,84.2155,19.0595,2549.0144,1933.6368,1.3433295,1.1676376,1.2920132,1.1544527,1.2721604,1.1480618
True,22/AUG/1994,-37.82882,145.02242,100,1,2501973,2408023,True,False,False,False,293.8068,14.0595,84.2155,19.0595,2549.0144,1933.6368,1.3433295,1.1676376,1.2920132,1.1544527,1.2721604,1.1480618
True,22/AUG/1994,-37.82882,145.02242,100,2,2501973,2408023,True,False,False,False,293.8068,14.0595,84.2155,19.0595,2549.0144,1933.6368,1.3433295,1.1676376,1.2920132,1.1544527,1.2721604,1.1480618
True,22/AUG/1994,-37.82882,145.02242,100,2,2501973,2408023,True,False,False,False,293.8068,14.0595,84.2155,19.0595,2549.0144,1933.6368,1.3433295,1.1676376,1.2920132,1.1544527,1.2721604,1.1480618
True,23/AUG/1994,-37.83171,144.9803,100,1,2498265,2407702,True,False,False,False,290.6656,14.3853,82.6147,18.7924,2467.6987,1501.8038,1.3761754,1.1653583,1.3689067,1.1697417,1.2822415,1.1426096
True,23/AUG/1994,-37.83171,144.9803,100,3,2498265,2407702,True,False,False,False,290.6656,14.3853,82.6147,18.7924,2467.6987,1501.8038,1.3761754,1.1653583,1.3689067,1.1697417,1.2822415,1.1426096
True,22/OCT/1996,-37.5078,145.23795,100,1,2521036,2443624,False,True,False,True,292.0772,17.3406,74.4959,38.903,1648.1289,888.6099,1.2840657,1.1246243,1.2787844,1.1251699,1.3069516,1.1336704
True,25/OCT/1996,-37.57559,145.44471,100,1,2539279,2436036,False,True,False,True,300.0048,22.5201,80.1925,43.5253,1951.2428,1156.921,1.3167976,1.1409423,1.3219855,1.1472237,1.3164735,1.1571802
True,18/SEP/1998,-38.47262,146.85398,100,,2661807,2334982,False,True,False,True,263.2393,20.2204,75.7927,32.5599,1973.8245,1328.0039,1.3156811,1.172938,1.3136895,1.1715753,1.3180901,1.168251
True,01/JUN/1998,-37.81279,144.98082,100,2,2498311,2409802,True,False,False,False,290.8219,15.2967,81.91,18.8626,2830.4136,1748.9268,1.4280959,1.1955439,1.3760719,1.1755726,1.2459983,1.1262988
True,01/JAN/2000,-38.37655,144.25442,100,1,2434841,2346969,False,True,False,True,261.9167,4.0628,89.1507,36.0947,1949.4579,1416.8425,1.2976387,1.1651933,1.2986487,1.1679239,1.2703283,1.1602386
True,11/FEB/2002,-37.91885,146.66166,100,10,2646097,2396756,False,True,False,False,292.7941,21.871,67.8048,16.0294,2347.9375,1982.319,1.3227634,1.2027954,1.3054779,1.1904296,1.3024378,1.1887679
True,26/NOV/2000,-38.03777,145.36662,100,10,2532184,2384769,False,False,False,False,291.1561,14.8478,85.1521,33.8526,2500.2388,1552.1765,1.3821213,1.1797721,1.3538278,1.1745639,1.327494,1.1666634
True,06/SEP/2000,-38.4609,146.85285,100,,2661734,2336285,False,True,False,True,263.4455,20.517,76.4269,32.5545,2057.741,1286.2242,1.3287827,1.169537,1.3238934,1.1682587,1.3222225,1.1656061
True,17/APR/2000,-37.66409,145.39071,100,,2534469,2426235,False,False,False,False,303.771,7.0605,84.9395,17.0838,2653.3933,2551.8987,1.2986764,1.2091247,1.2733173,1.2066891,1.2802413,1.2064162
True,27/MAY/2001,-38.0081,145.12923,100,,2511349,2388117,False,False,True,False,292.7081,9.292,89.7066,24.292,1929.4563,1512.6509,1.2438337,1.1285349,1.2691039,1.1560568,1.2605842,1.1752775
