UFI,TAXON_ID,SCIENTIFIC_DISPLAY_NME,COMMON_NME,TAXON_TYPE,RELIABILITY,RATING_INT,RELIABILITY_TXT,REVIEW_COMMENT_TXT,SAMPLING_METHOD_DESC,SURVEY_START_DATE,LATITUDEDD_NUM,LONGITUDEDD_NUM,LAT_LONG_ACCURACYDD_INT,TOTAL_COUNT_INT,BEHAVIOUR,EXTRA_INFORMATION,RECORD_TYPE,PRIMARY_CDE,SV_RECORD_COUNT,STATE_CDE,LGA_UFI,CMA_NO,PARK_ID,SURVEY_ID,SITE_ORIGIN_STATUS_CDE,CREATION_TSP
4040846,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,Bird transect,26/JUN/1997,-34.38819,141.40982,100,1,,,Seen,FAUNA,14,VIC,345,1,,451603,,16/AUG/11 12:00:00.000000000 AM
4040846,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,Bird transect,26/JUN/1997,-34.38819,141.40982,100,1,,,Seen,FAUNA,14,VIC,345,1,,451603,,16/AUG/11 12:00:00.000000000 AM
4040852,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,,,Bird transect,26/JUN/1997,-34.38819,141.40982,100,3,,,Heard,FAUNA,14,VIC,345,1,,451603,,16/AUG/11 12:00:00.000000000 AM
3797630,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,Incidental,01/JUN/1986,-34.41786,141.43391,100,1,,,Observation,FAUNA,10,VIC,345,1,352,581512,,16/AUG/11 12:00:00.000000000 AM
5614847,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,Incidental,15/SEP/2006,-34.53924,141.61473,100,4,,,Seen,FAUNA,4,VIC,345,1,,931108,,16/AUG/11 12:00:00.000000000 AM
6269112,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Unconfirmed,,,Suspect wrong treecreeper species code used here.  Should be White-throated (VBA 10558). M.O'B,Timed bird census,02/AUG/2011,-37.90047,145.59856,100,1,,,Heard,FAUNA,9,VIC,311,7,3253,991661,,22/AUG/13 09:44:30.371000000 AM
4634358,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Unconfirmed,4,,,Incidental,18/AUG/1990,-38.38399,144.07786,140,,,,Seen,FAUNA,31,VIC,365,5,4710,720499,,16/AUG/11 12:00:00.000000000 AM
5614416,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,Incidental,12/NOV/2006,-35.46219,142.00226,100,2,,,Heard,FAUNA,6,VIC,345,1,3309,931048,,16/AUG/11 12:00:00.000000000 AM
5614417,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,,,Incidental,12/NOV/2006,-35.46219,142.00226,100,1,,,Seen,FAUNA,6,VIC,345,1,3309,931048,,16/AUG/11 12:00:00.000000000 AM
5614761,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,Bird transect,15/SEP/2006,-34.49327,141.54126,100,2,,,Seen,FAUNA,12,VIC,345,1,,931098,,16/AUG/11 12:00:00.000000000 AM
6268751,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Unconfirmed,,,Suspect wrong treecreeper species code used here.  Should be White-throated (VBA 10558). M.O'B,Timed bird census,21/NOV/2011,-37.9702,145.66798,100,1,,,Heard,FAUNA,8,VIC,311,7,3329,991618,,22/AUG/13 09:36:53.480000000 AM
6999152,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,,High reliability,Candidate record HDM 2015,Trap (unspecified),20/JUN/1999,-34.41667,141.43333,100,2,,,Captured and released,FAUNA,1,VIC,345,,352,1117982,,15/APR/16 11:12:40.000000000 AM
7812382,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,,High reliability,Candidate record HDM 2015,Birds Australia 5km area search,01/NOV/2005,-36.78462,141.75774,100,,,,Observation,FAUNA,73,VIC,332,,,1175553,,03/JUN/16 02:02:30.000000000 PM
9013141,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,,0,,,Camera - Surveillance/Remote,26/SEP/2018,-34.370547,141.355647,10,2,,,Seen,FAUNA,2,VIC,345,1,352,1747594,indig,12/JAN/19 11:09:17.462000000 AM
3802261,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,Timed bird census,15/OCT/1986,-34.42956,141.44267,100,2,,,Observation,FAUNA,13,VIC,345,1,352,582898,,16/AUG/11 12:00:00.000000000 AM
5614571,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,Incidental,13/NOV/2006,-34.75354,142.68106,100,1,,,Heard,FAUNA,17,VIC,366,1,,931071,,16/AUG/11 12:00:00.000000000 AM
5614717,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,Incidental,14/SEP/2006,-34.45708,141.44151,100,2,,,Seen,FAUNA,6,VIC,345,1,,931089,,16/AUG/11 12:00:00.000000000 AM
5614717,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,Incidental,14/SEP/2006,-34.45708,141.44151,100,2,,,Seen,FAUNA,6,VIC,345,1,,931089,,16/AUG/11 12:00:00.000000000 AM
8579487,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,,,,,Incidental,04/FEB/2010,-36.89317,147.138601,200,,,,Seen,FAUNA,16,VIC,300,8,3319,1395245,,27/JUL/17 08:11:25.428000000 PM
3807104,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,Timed bird census,02/JUN/1987,-34.39637,141.38919,100,3,,,Observation,FAUNA,10,VIC,345,1,352,585349,,16/AUG/11 12:00:00.000000000 AM
