is_reliable,survey_date,latitude,longitude,lat_lng_accuracy,total_count,vic_x,vic_y,within_built_up_area,within_forest_u2,within_water_area,within_public_land_su3,jan_rainfaull,jan_max_temp,july_rainfall,july_max_temp,LandSat_1,LandSat_2,LandSat_3,LandSat_4,LandSat_5,LandSat_6,LandSat_7,LandSat_8
True,26/JUN/1997,-34.38819,141.40982,100,1,2169628,2783614,False,False,False,False,345.8975,-13.8897,68.6444,-3.8893,2538.9844,3625.9546,1.1339374,1.145646,1.134892,1.1468211,1.1375866,1.155091
True,26/JUN/1997,-34.38819,141.40982,100,1,2169628,2783614,False,False,False,False,345.8975,-13.8897,68.6444,-3.8893,2538.9844,3625.9546,1.1339374,1.145646,1.134892,1.1468211,1.1375866,1.155091
True,26/JUN/1997,-34.38819,141.40982,100,3,2169628,2783614,False,False,False,False,345.8975,-13.8897,68.6444,-3.8893,2538.9844,3625.9546,1.1339374,1.145646,1.134892,1.1468211,1.1375866,1.155091
True,01/JUN/1986,-34.41786,141.43391,100,1,2171967,2780405,False,False,False,True,345.7856,-14.7856,68.6583,-3.7856,1874.4067,2838.6152,1.1408218,1.1964469,1.1415613,1.1972747,1.1418899,1.1920017
True,15/SEP/2006,-34.53924,141.61473,100,4,2189072,2767546,False,False,False,False,342.5496,-11.5496,66.5473,-0.5496,2417.812,3423.4692,1.1315633,1.14098,1.1374594,1.1459203,1.1445595,1.1549633
True,02/AUG/2011,-37.90047,145.59856,100,1,2552642,2399905,False,True,False,True,275.8869,40.2432,68.7568,83.4054,2068.5361,935.72217,1.3479351,1.126199,1.3577187,1.131894,1.3417267,1.132883
False,18/AUG/1990,-38.38399,144.07786,140,,2419420,2346008,False,True,False,True,264.7262,3.6794,84.7725,40.6811,1791.824,1331.0526,1.2898995,1.1732976,1.2971172,1.1745356,1.2952589,1.1748489
True,12/NOV/2006,-35.46219,142.00226,100,2,2227878,2666350,False,True,False,True,335.9371,-9.3326,66.118,3.6674,2156.2415,2859.2034,1.1651816,1.1683662,1.165434,1.1712638,1.1666826,1.1726323
True,12/NOV/2006,-35.46219,142.00226,100,1,2227878,2666350,False,True,False,True,335.9371,-9.3326,66.118,3.6674,2156.2415,2859.2034,1.1651816,1.1683662,1.165434,1.1712638,1.1666826,1.1726323
True,15/SEP/2006,-34.49327,141.54126,100,2,2182141,2772403,False,False,False,False,342.785,-12.785,66.7337,-1.785,2366.6125,3462.92,1.1299148,1.1506988,1.1291213,1.1499593,1.1371287,1.1653348
True,21/NOV/2011,-37.9702,145.66798,100,1,2558693,2392125,False,True,False,True,273.7676,41.1522,64.1449,82.1342,2282.1265,964.58936,1.3864579,1.1303122,1.3627121,1.1161745,1.3658406,1.125463
True,20/JUN/1999,-34.41667,141.43333,100,2,2171909,2780535,False,False,False,True,345.6215,-14.6215,68.5848,-3.6215,1844.871,2793.9697,1.1427758,1.1997675,1.1415515,1.197574,1.1420467,1.1912009
True,01/NOV/2005,-36.78462,141.75774,100,,2210686,2518971,False,False,False,True,319.2052,-6.2091,64.2091,26.8138,2168.1458,2414.2144,1.216671,1.1786845,1.1903305,1.1940405,1.1734908,1.1907848
True,26/SEP/2018,-34.370547,141.355647,10,2,2164570,2785382,False,False,False,False,346.2161,-14.2161,68.2472,-4.2111,1955.8032,2871.2058,1.1449357,1.1877434,1.1444851,1.1863775,1.1380415,1.1710116
True,15/OCT/1986,-34.42956,141.44267,100,2,2172821,2779137,False,False,False,True,342.7449,-12.1761,65.4534,-1.1761,1860.8372,2714.762,1.1443913,1.1913465,1.1427486,1.1885012,1.1401029,1.186817
True,13/NOV/2006,-34.75354,142.68106,100,1,2287567,2746698,False,False,False,True,347.0944,-12.7004,71.7004,-5.7004,2246.7468,2774.3123,1.1697419,1.1590722,1.208537,1.1727803,1.2139376,1.1722512
True,14/SEP/2006,-34.45708,141.44151,100,2,2172828,2776080,False,False,False,False,343.4535,-12.5875,66.5875,-1.5875,2442.3699,3587.0308,1.1289552,1.1443429,1.1311985,1.1520524,1.132729,1.1552985
