UFI,TAXON_ID,SCIENTIFIC_DISPLAY_NME,COMMON_NME,TAXON_TYPE,RELIABILITY,RATING_INT,RELIABILITY_TXT,REVIEW_COMMENT_TXT,SAMPLING_METHOD_DESC,SURVEY_START_DATE,LATITUDEDD_NUM,LONGITUDEDD_NUM,LAT_LONG_ACCURACYDD_INT,TOTAL_COUNT_INT,BEHAVIOUR,EXTRA_INFORMATION,RECORD_TYPE,PRIMARY_CDE,SV_RECORD_COUNT,STATE_CDE,LGA_UFI,CMA_NO,PARK_ID,SURVEY_ID,SITE_ORIGIN_STATUS_CDE,CREATION_TSP
3892275,60555,Climacteris picumnus,Brown Treecreeper,Passerine birds,Acceptable,0,High reliability,,Timed bird census,05/NOV/1989,-37.22267,144.04555,100,3,,,Seen,FAUNA,60,VIC,353,4,,428241,,16/AUG/11 12:00:00.000000000 AM
3913538,60555,Climacteris picumnus,Brown Treecreeper,Passerine birds,Acceptable,0,High reliability,,General observations,13/OCT/1990,-36.9404,145.1478,100,,,,Observation,FAUNA,26,VIC,364,6,171,431260,,16/AUG/11 12:00:00.000000000 AM
3920111,60555,Climacteris picumnus,Brown Treecreeper,Passerine birds,Acceptable,0,High reliability,,General observations,23/JUL/1991,-36.50235,145.77686,100,6,,,Observation,FAUNA,9,VIC,364,6,,431559,,16/AUG/11 12:00:00.000000000 AM
3932253,60555,Climacteris picumnus,Brown Treecreeper,Passerine birds,Acceptable,0,High reliability,,General observations,06/AUG/1991,-37.64424,144.50827,100,1,,,Observation,FAUNA,22,VIC,350,7,,432178,,16/AUG/11 12:00:00.000000000 AM
3942343,60555,Climacteris picumnus,Brown Treecreeper,Passerine birds,Acceptable,0,High reliability,,General observations,12/JUN/1984,-36.1006,144.84116,100,,,,Seen,FAUNA,39,VIC,,6,3232,432594,,16/AUG/11 12:00:00.000000000 AM
3964549,60555,Climacteris picumnus,Brown Treecreeper,Passerine birds,Acceptable,0,High reliability,,General observations,07/JAN/1994,-36.84391,142.47681,100,,,,Observation,FAUNA,36,VIC,332,2,,437793,,16/AUG/11 12:00:00.000000000 AM
3974071,60555,Climacteris picumnus,Brown Treecreeper,Passerine birds,Acceptable,0,High reliability,,General observations,12/AUG/1985,-34.22946,142.22336,100,,,,Seen,FAUNA,29,VIC,345,1,4887,442047,,16/AUG/11 12:00:00.000000000 AM
3986926,60555,Climacteris picumnus,Brown Treecreeper,Passerine birds,Acceptable,0,High reliability,,General observations,26/SEP/1982,-36.70677,144.96984,100,,,,Observation,FAUNA,25,VIC,364,6,,443936,,16/AUG/11 12:00:00.000000000 AM
3992046,60555,Climacteris picumnus,Brown Treecreeper,Passerine birds,Acceptable,0,High reliability,,General observations,09/SEP/1995,-37.88986,144.21007,100,,,,Seen,FAUNA,15,VIC,324,5,,444708,,16/AUG/11 12:00:00.000000000 AM
4005305,60555,Climacteris picumnus,Brown Treecreeper,Passerine birds,Acceptable,0,High reliability,,General observations,02/MAY/1996,-36.41481,145.32319,100,,,,Observation,FAUNA,22,VIC,328,6,,447860,,16/AUG/11 12:00:00.000000000 AM
