UFI,TAXON_ID,SCIENTIFIC_DISPLAY_NME,COMMON_NME,TAXON_TYPE,RELIABILITY,RATING_INT,RELIABILITY_TXT,REVIEW_COMMENT_TXT,SAMPLING_METHOD_DESC,SURVEY_START_DATE,LATITUDEDD_NUM,LONGITUDEDD_NUM,LAT_LONG_ACCURACYDD_INT,TOTAL_COUNT_INT,BEHAVIOUR,EXTRA_INFORMATION,RECORD_TYPE,PRIMARY_CDE,SV_RECORD_COUNT,STATE_CDE,LGA_UFI,CMA_NO,PARK_ID,SURVEY_ID,SITE_ORIGIN_STATUS_CDE,CREATION_TSP
613779,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,0,,,Quadrat,13/OCT/1988,-37.00972,142.72417,15,,,,,FLORA,113,VIC,357,2,3396,246005,,16/AUG/11 12:00:00.000000000 AM
714911,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,0,,,Quadrat,11/OCT/1995,-37.59389,142.32222,15,,,,,FLORA,44,VIC,362,3,3316,249212,,16/AUG/11 12:00:00.000000000 AM
5751605,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,0,,VBA admin rating added 04/11/2016,Monitoring,12/JAN/1987,-37.09214,141.18358,50,,,,,FLORA,34,VIC,371,2,179,963342,,16/AUG/11 12:00:00.000000000 AM
701523,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,0,,,Quadrat,26/NOV/1991,-36.84694,142.42583,15,,,,,FLORA,36,VIC,332,2,,248667,,16/AUG/11 12:00:00.000000000 AM
714829,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,0,,,Quadrat,11/OCT/1995,-37.59333,142.32194,15,,,,,FLORA,52,VIC,362,3,3316,249210,,16/AUG/11 12:00:00.000000000 AM
1161081,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,0,,,Quadrat,19/NOV/1993,-36.24806,146.16333,15,,,,,FLORA,30,VIC,368,8,2111,263149,,16/AUG/11 12:00:00.000000000 AM
723827,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,0,,,Quadrat,04/FEB/2000,-37.49556,142.36639,15,,,,,FLORA,44,VIC,362,3,3316,249409,,16/AUG/11 12:00:00.000000000 AM
5751536,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,0,,VBA admin rating added 04/11/2016,Monitoring,12/JAN/1987,-37.09048,141.18025,50,,,,,FLORA,34,VIC,371,2,179,963331,,16/AUG/11 12:00:00.000000000 AM
723429,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,0,,,Quadrat,01/FEB/2000,-37.08917,142.41361,15,,,,,FLORA,64,VIC,357,2,3316,249399,,16/AUG/11 12:00:00.000000000 AM
701728,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,0,,,Quadrat,28/NOV/1991,-36.87389,141.66944,15,,,,,FAUNA,50,VIC,371,2,2612,248672,,16/AUG/11 12:00:00.000000000 AM
1195776,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,0,,,Quadrat,18/NOV/1993,-36.22639,146.72333,15,,,,,FAUNA,52,VIC,334,8,3314,264185,,16/AUG/11 12:00:00.000000000 AM
743282,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,0,,,Quadrat,21/NOV/1998,-37.08917,142.06611,15,,,,,FAUNA,44,VIC,332,2,,250025,,16/AUG/11 12:00:00.000000000 AM
5763904,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,0,,VBA admin rating added 04/11/2016,Monitoring,02/OCT/1997,-36.01404,145.13379,50,,,,,FAUNA,8,VIC,347,6,,964796,,16/AUG/11 12:00:00.000000000 AM
6921140,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,0,,auto review from acc dist,General observations,21/JUL/2010,-37.0053,142.70706,100,,,Voucher specimen,Observation with supporting evidence,FAUNA,22,VIC,357,2,2477,1095489,,04/OCT/15 10:14:49.000000000 PM
6923379,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,0,,auto review from acc dist,General observations,03/OCT/2010,-36.8836,142.44972,200,,,,Observation with supporting evidence,FAUNA,45,VIC,332,2,,1095298,,22/SEP/15 09:32:15.000000000 PM
700974,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,0,,,Quadrat,19/NOV/1991,-36.82917,142.35889,15,,,,,FAUNA,37,VIC,332,2,,248654,,16/AUG/11 12:00:00.000000000 AM
2018628,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,0,,,Quadrat,26/OCT/1996,-36.05541,145.53344,15,,,,,FAUNA,57,VIC,347,,,393267,,16/AUG/11 12:00:00.000000000 AM
6607127,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,2,,VBA admin rating added 04/11/2016,Quadrat,08/JAN/2011,-38.1165,141.86826,100,,,,Seen,FAUNA,57,VIC,323,3,,1035848,,26/FEB/14 08:19:14.587000000 PM
701114,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,0,,,Quadrat,20/NOV/1991,-36.82389,142.36361,15,,,,,FAUNA,57,VIC,332,2,,248657,,16/AUG/11 12:00:00.000000000 AM
701651,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,0,,,Quadrat,27/NOV/1991,-36.90806,142.50056,15,,,,,FAUNA,40,VIC,357,2,3316,248670,,16/AUG/11 12:00:00.000000000 AM
720985,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,0,,,Quadrat,09/JAN/1996,-37.17528,142.36444,15,,,,,FAUNA,23,VIC,357,3,3316,249329,,16/AUG/11 12:00:00.000000000 AM
2018683,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,0,,,Quadrat,26/OCT/1996,-36.05596,145.53289,15,,,,,FAUNA,55,VIC,347,,,393268,,16/AUG/11 12:00:00.000000000 AM
700884,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,0,,,Quadrat,19/NOV/1991,-36.83194,142.35778,15,,,,,FAUNA,46,VIC,332,2,,248652,,16/AUG/11 12:00:00.000000000 AM
7173914,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,2,,VBA admin rating added 04/11/2016,Quadrat,13/APR/2011,-36.79275,144.9423,100,,,,Observation,FAUNA,101,VIC,364,,4527,1140129,,15/APR/16 11:12:40.000000000 AM
701609,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,0,,,Quadrat,27/NOV/1991,-36.87528,142.44667,15,,,,,FAUNA,53,VIC,357,2,3316,248669,,16/AUG/11 12:00:00.000000000 AM
701057,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,0,,,Quadrat,20/NOV/1991,-36.83417,142.35722,15,,,,,FAUNA,42,VIC,332,2,,248656,,16/AUG/11 12:00:00.000000000 AM
701433,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,0,,,Quadrat,25/NOV/1991,-37.08694,142.21333,15,,,,,FAUNA,42,VIC,332,3,,248665,,16/AUG/11 12:00:00.000000000 AM
701015,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,0,,,Quadrat,19/NOV/1991,-36.82778,142.36056,15,,,,,FAUNA,39,VIC,332,2,,248655,,16/AUG/11 12:00:00.000000000 AM
8449762,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,,,,Specimen,12/NOV/2013,-38.1707,145.1675,50,,,,Observation,FAUNA,1,VIC,320,7,3365,1321808,,14/FEB/17 09:37:31.000000000 AM
5751647,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,0,,VBA admin rating added 04/11/2016,Monitoring,28/JAN/1987,-37.10492,141.18358,50,,,,,FAUNA,34,VIC,371,2,179,963338,,16/AUG/11 12:00:00.000000000 AM
6607050,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,2,,VBA admin rating added 04/11/2016,Quadrat,08/JAN/2011,-38.1165,141.86871,100,,,,Seen,FAUNA,47,VIC,323,3,,1035847,,26/FEB/14 08:18:58.009000000 PM
701558,503998,Stylidium despectum,Small Triggerplant,Dicotyledons,Acceptable,0,,,Quadrat,27/NOV/1991,-36.93611,142.2775,15,,,,,FAUNA,35,VIC,332,2,,248668,,16/AUG/11 12:00:00.000000000 AM
