UFI,TAXON_ID,SCIENTIFIC_DISPLAY_NME,COMMON_NME,TAXON_TYPE,RELIABILITY,RATING_INT,RELIABILITY_TXT,REVIEW_COMMENT_TXT,SAMPLING_METHOD_DESC,SURVEY_START_DATE,LATITUDEDD_NUM,LONGITUDEDD_NUM,LAT_LONG_ACCURACYDD_INT,TOTAL_COUNT_INT,BEHAVIOUR,EXTRA_INFORMATION,RECORD_TYPE,PRIMARY_CDE,SV_RECORD_COUNT,STATE_CDE,LGA_UFI,CMA_NO,PARK_ID,SURVEY_ID,SITE_ORIGIN_STATUS_CDE,CREATION_TSP
3922496,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Acceptable,0,High reliability,,General observations,13/SEP/1991,-38.31185,144.14823,100,,,,Seen,FAUNA,37,VIC,365,5,1050,431798,,16/AUG/11 12:00:00.000000000 AM
3923610,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Acceptable,0,High reliability,,Spotlighting on foot,14/NOV/1991,-38.35692,144.97151,100,2,,,Heard,FAUNA,100,VIC,352,7,,431834,,16/AUG/11 12:00:00.000000000 AM
3923643,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Acceptable,0,High reliability,,Spotlighting on foot,14/NOV/1991,-38.35692,144.97151,100,3,,,Heard,FAUNA,100,VIC,352,7,,431834,,16/AUG/11 12:00:00.000000000 AM
3923824,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Acceptable,0,High reliability,,Spotlighting on foot,14/NOV/1991,-38.35598,144.96925,100,3,,,Heard,FAUNA,99,VIC,352,7,,431836,,16/AUG/11 12:00:00.000000000 AM
3944929,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Acceptable,0,High reliability,,General observations,29/OCT/1992,-38.64496,146.57209,100,10,,,Heard,FAUNA,18,VIC,370,9,,432729,,16/AUG/11 12:00:00.000000000 AM
3978675,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Acceptable,0,High reliability,,Frog census,01/SEP/1994,-37.78661,145.03149,100,2,,,Heard,FAUNA,3,VIC,376,7,,443384,,16/AUG/11 12:00:00.000000000 AM
3978675,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Acceptable,0,High reliability,,Frog census,01/SEP/1994,-37.78661,145.03149,100,2,,,Heard,FAUNA,3,VIC,376,7,,443384,,16/AUG/11 12:00:00.000000000 AM
3978698,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Acceptable,0,High reliability,,Frog census,22/AUG/1994,-37.82882,145.02242,100,1,,,Captured and released,FAUNA,7,VIC,376,7,,443391,,16/AUG/11 12:00:00.000000000 AM
3978698,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Acceptable,0,High reliability,,Frog census,22/AUG/1994,-37.82882,145.02242,100,1,,,Captured and released,FAUNA,7,VIC,376,7,,443391,,16/AUG/11 12:00:00.000000000 AM
3978698,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Acceptable,0,High reliability,,Frog census,22/AUG/1994,-37.82882,145.02242,100,1,,,Captured and released,FAUNA,7,VIC,376,7,,443391,,16/AUG/11 12:00:00.000000000 AM
3978699,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Acceptable,0,,,Frog census,22/AUG/1994,-37.82882,145.02242,100,2,,,Heard,FAUNA,7,VIC,376,7,,443391,,16/AUG/11 12:00:00.000000000 AM
3978699,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Acceptable,0,,,Frog census,22/AUG/1994,-37.82882,145.02242,100,2,,,Heard,FAUNA,7,VIC,376,7,,443391,,16/AUG/11 12:00:00.000000000 AM
3978708,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Acceptable,0,,,Frog census,23/AUG/1994,-37.83171,144.9803,100,1,,Breeding,Seen,FAUNA,2,VIC,343,7,,443393,,16/AUG/11 12:00:00.000000000 AM
3978707,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Acceptable,0,High reliability,,Frog census,23/AUG/1994,-37.83171,144.9803,100,3,,Breeding,Captured and released,FAUNA,2,VIC,343,7,,443393,,16/AUG/11 12:00:00.000000000 AM
4009292,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Acceptable,0,High reliability,,Spotlighting on foot,22/OCT/1996,-37.5078,145.23795,100,1,,,Heard,FAUNA,4,VIC,356,7,3292,448333,,16/AUG/11 12:00:00.000000000 AM
4009324,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Acceptable,0,High reliability,,Dusk watch,25/OCT/1996,-37.57559,145.44471,100,1,,,Heard,FAUNA,3,VIC,377,7,,448343,,16/AUG/11 12:00:00.000000000 AM
4054283,13182,Litoria ewingii,Southern Brown Tree Frog,Amphibians,Acceptable,0,High reliability,,Spotlighting on foot,18/SEP/1998,-38.47262,146.85398,100,,,,Heard,FAUNA,6,VIC,370,9,,452908,,16/AUG/11 12:00:00.000000000 AM
